"lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","샤워코롱","Shower Cologne","sku_category_82"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","샴푸","Shampoo","sku_category_81"
"스킨케어","Skincare","선케어","Suncare","선케어 세트","Suncare Set","sku_category_78"
"스킨케어","Skincare","멘즈케어","Men","선케어(멘즈)","Suncare(Men)","sku_category_77"
"스킨케어","Skincare","선케어","Suncare","선쿠션ㆍ파우더","Sun PowderㆍCushion","sku_category_76"
"스킨케어","Skincare","선케어","Suncare","선크림ㆍ선스틱 ","Sun CreamㆍStick","sku_category_74"
"메이크업","Makeup","아이 메이크업","Eye Makeup","속눈썹영양제","Eyelash Serum","sku_category_73"
"스킨케어","Skincare","멘즈케어","Men","쉐이빙(멘즈)","Shaving(Men)","sku_category_71"
"스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","스킨ㆍ토너","SkinㆍToner","sku_category_158"
"스킨케어","Skincare","멘즈케어","Men","스킨ㆍ토너(멘즈)","SkinㆍToner(Men)","sku_category_157"
"스킨케어","Skincare","스킨케어 세트","Skincare Set","스킨케어 세트","Skincare Set","sku_category_159"
"스킨케어","Skincare","멘즈케어","Men","스타일링(멘즈)","Styling(Men)","sku_category_156"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","스프레이ㆍ픽서","SprayㆍFixer","sku_category_155"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","슬리핑팩","Sleeping Pack","sku_category_154"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","아로마테라피","Aromatherapy","sku_category_153"
"메이크업","Makeup","아이 메이크업","Eye Makeup","아이라이너","Eyeliner","sku_category_152"
"메이크업","Makeup","아이 메이크업","Eye Makeup","아이브로우","Eyebrow","sku_category_151"
"메이크업","Makeup","아이 메이크업","Eye Makeup","아이섀도우ㆍ팔레트","EyeshadowㆍPalette","sku_category_149"
"스킨케어","Skincare","멘즈케어","Men","아이케어(멘즈)","Eyecare(Men)","sku_category_148"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","아이크림ㆍ젤","Eye CreamㆍGel","sku_category_146"
"스킨케어","Skincare","선케어","Suncare","애프터선","After Sun","sku_category_145"
"스킨케어","Skincare","멘즈케어","Men","애프터쉐이브(멘즈)","Aftershave(Men)","sku_category_144"
"스킨케어","Skincare","멘즈케어","Men","에센스(멘즈)","Essence(Men)","sku_category_143"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","에센스ㆍ세럼","EssenceㆍSerum","sku_category_142"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","여성향수","Women's Perfume","sku_category_141"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","염색ㆍ다운펌(멘즈)","DyeㆍDown Perm(Men)","sku_category_139"
"메이크업","Makeup","네일","Nail","영양ㆍ강화제","Nail Nourishment","sku_category_138"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","오일ㆍ세럼","OilㆍSerum","sku_category_137"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","올인원","All-in-One","sku_category_136"
"스킨케어","Skincare","멘즈케어","Men","올인원(멘즈)","All-in-One(Men)","sku_category_135"
