"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"olive_young_000207","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어세럼","HairSerum","sku_category_11"
"naver_000080","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어에센스ㆍ미스트","Hair EssenceㆍMist","sku_category_11"
"olive_young_000208","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어오일","HairOil","sku_category_163"
"naver_000082","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어왁스","Hair Wax","sku_category_10"
"olive_young_000074","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어워터","Hair Water","sku_category_9"
"naver_000083","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어젤","Hair Gel","sku_category_8"
"naver_000079","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어트리트먼트ㆍ팩","TreatmentㆍPack","sku_category_6"
"olive_young_000062","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어팩ㆍ마스크","Hair PackㆍMask","sku_category_6"
"olive_young_000267","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","헤어퍼퓸","Hair Perfume","sku_category_162"
"naver_000039","메이크업","Makeup","베이스 메이크업","Base Makeup","BBㆍCC크림","BBㆍCC Cream","sku_category_5"
"olive_young_000010","메이크업","Makeup","베이스 메이크업","Base Makeup","BBㆍCC크림","BBㆍCC Cream","sku_category_5"
"olive_young_000169","스킨케어","Skincare","선케어","Suncare","선패치","Sun Patch","sku_category_79"
"olive_young_000277","스킨케어","Skincare","선케어","Suncare","선파우더","Sun Powder","sku_category_76"
"olive_young_000278","스킨케어","Skincare","선케어","Suncare","선스프레이","Sun Spray","sku_category_75"
