"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"olive_young_000150","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","모델링팩ㆍ필오프팩","ModelingㆍPeel-Off Pack","sku_category_41"
"naver_000003","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","미스트","Mist","sku_category_39"
"olive_young_000008","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","미스트ㆍ픽서","MistㆍFixer","sku_category_39"
"olive_young_000039","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디로션","Body Lotion","sku_category_100"
"naver_000064","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디로션","Body Lotion","sku_category_100"
"naver_000067","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디미스트","Body Mist","sku_category_99"
"olive_young_000030","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디스크럽","Body Scrub","sku_category_98"
"naver_000061","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디스크럽","Body Scrub","sku_category_98"
"naver_000075","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디슬리밍","Body Slimming","sku_category_97"
"naver_000066","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디오일","Body Oil","sku_category_95"
"olive_young_000041","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디오일ㆍ바디파우더","Body OilㆍPowder","sku_category_95"
"olive_young_000206","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디오일ㆍ바디파우더","Body OilㆍPowder","sku_category_95"
